Wavelength,I(0),I(KBr),I(KI)
405.2633,133.03,51.4222,30.0467
405.7226,138.01,51.2022,29.8267
406.182,137.05,41.9022,27.0667
406.6413,139.25,50.3022,26.7067
407.1006,143.09,52.7222,27.6667
407.5599,141.95,49.9222,28.6067
408.0191,143.87,48.1022,22.2267
408.4784,141.17,54.6222,28.9867
408.9376,153.23,54.4822,35.7467
409.3967,152.41,48.4422,32.0267
409.8559,151.27,52.3022,28.7067
410.315,160.17,60.7622,36.5667
410.7741,160.03,57.5622,39.5467
411.2332,158.69,53.2222,30.2467
411.6923,156.65,60.6422,29.5067
412.1513,161.49,58.2822,36.8867
412.6103,164.69,53.7622,33.7867
413.0693,162.73,53.9022,26.4667
413.5283,163.39,60.7622,35.8467
413.9872,173.39,61.1022,40.6867
414.4461,166.07,56.8022,32.3067
414.905,172.31,63.2022,31.0867
415.3639,181.15,71.8622,42.2067
415.8228,180.33,61.9422,41.0067
416.2816,185.69,67.2422,40.4267
416.7404,183.37,68.5822,39.8067
417.1992,195.93,68.3422,42.2067
417.6579,188.79,61.9022,38.8467
418.1166,192.21,69.5422,36.1267
418.5753,201.19,75.8622,44.8667
419.034,206.63,70.1822,42.5867
419.4927,202.91,64.3422,37.3067
419.9513,205.49,77.5422,40.9467
420.4099,209.01,74.3622,43.8267
420.8685,207.19,66.6622,42.0067
421.3271,214.89,76.4422,43.9867
421.7856,214.73,75.9022,47.5867
422.2441,221.89,74.2022,45.5467
422.7026,219.27,73.0822,44.4067
423.1611,219.47,77.0622,42.8467
423.6195,223.77,77.8822,46.4267
424.0779,229.27,78.0622,50.1067
424.5363,226.27,75.4622,40.4467
424.9947,237.27,83.2622,50.4067
425.453,243.99,84.1022,53.3667
425.9114,244.99,79.4422,48.1667
426.3697,250.33,89.6822,51.2667
426.8279,254.85,91.8222,54.0067
427.2862,265.47,92.5222,55.9067
427.7444,263.39,87.5422,49.0267
428.2026,264.65,94.9222,52.9067
428.6608,270.03,96.0822,58.2867
429.119,263.75,89.7422,54.0067
429.5771,264.85,90.5222,49.7667
430.0352,270.47,96.2022,56.8267
430.4933,284.21,100.7222,62.7667
430.9513,287.69,100.6622,60.5467
431.4094,294.15,110.8822,59.3867
431.8674,299.95,110.3422,66.5667
432.3254,309.25,111.8222,71.0067
432.7833,318.97,116.7222,68.6667
433.2413,327.11,125.1822,78.4667
433.6992,324.07,119.6822,74.9667
434.1571,311.51,106.1422,61.9067
434.615,316.05,113.1822,64.8667
435.0728,320.69,115.7622,67.3867
435.5306,323.03,107.3622,65.9267
435.9884,325.07,108.0222,60.2067
436.4462,326.99,115.4622,66.1667
436.904,336.09,115.3222,68.7867
437.3617,337.09,110.8622,70.4467
437.8194,343.77,122.8222,67.2267
438.2771,353.89,125.2222,73.7467
438.7347,365.65,128.0822,76.9667
439.1923,365.89,121.9822,66.9267
439.65,368.15,129.6022,76.3067
440.1075,383.23,134.1422,79.7267
440.5651,378.01,131.0422,76.6067
441.0226,380.07,129.7822,75.2267
441.4801,388.37,134.4822,77.3867
441.9376,391.27,136.2022,80.2667
442.3951,389.59,131.8822,75.5467
442.8525,400.79,141.5422,80.1067
443.3099,402.99,143.7022,80.8667
443.7673,404.29,137.4422,84.0867
444.2247,407.19,138.1622,78.1467
444.6821,416.59,148.9222,88.8467
445.1394,423.57,149.6422,89.4067
445.5967,421.63,140.4822,79.0667
446.0539,427.37,147.4622,84.3467
446.5112,436.79,154.0822,89.6667
446.9684,439.11,151.9822,86.7067
447.4256,444.55,151.3822,83.3667
447.8828,441.15,153.2822,86.8667
448.3399,458.95,159.6422,94.9067
448.7971,455.89,155.2022,90.5867
449.2542,459.93,161.3222,89.7067
449.7113,466.71,162.8222,94.9867
450.1683,470.15,163.7222,96.2867
450.6254,466.47,156.6422,92.6467
451.0824,466.21,161.7622,88.2267
451.5394,489.53,172.4022,102.2267
451.9963,487.77,165.0622,102.3867
452.4532,493.51,165.8822,94.1067
452.9102,497.11,173.8622,101.6067
453.3671,515.41,178.9822,108.2267
453.8239,516.89,173.5022,101.3867
454.2808,522.53,179.7822,101.6467
454.7376,527.11,192.0822,104.3467
455.1944,542.23,187.0422,113.0867
455.6511,545.69,185.9222,105.8267
456.1079,552.31,190.6422,108.2667
456.5646,565.93,195.9222,112.2067
457.0213,576.63,195.0422,121.1667
457.478,574.67,196.5822,112.1267
457.9346,584.89,200.9622,115.7867
458.3913,600.43,203.8422,123.7467
458.8479,600.43,200.9622,118.4667
459.3044,607.53,209.4222,116.8267
459.761,614.73,210.3822,122.6867
460.2175,636.45,211.7622,127.9667
460.674,646.85,221.4822,128.3667
461.1305,659.51,231.7022,131.0267
461.587,679.21,231.2222,134.7867
462.0434,691.67,231.3622,138.3267
462.4998,701.25,239.5622,137.9867
