Wavelength,I(0),I(NaCl),I(KCl)
419.9513,192.7056,13.9759,72.3519
420.4099,192.1722,16.4093,70.5519
420.8685,196.5056,18.6759,74.3519
421.3271,200.0389,19.0093,73.2185
421.7856,201.0722,15.4759,76.8185
422.2441,208.0056,17.8759,69.2852
422.7026,210.6722,16.5426,78.1185
423.1611,209.1722,17.9426,78.1185
423.6195,205.7056,14.2093,77.9519
424.0779,210.3722,19.3093,81.4852
424.5363,216.0056,15.4093,82.8185
424.9947,219.8722,14.4093,81.8852
425.453,224.4389,12.7426,80.8852
425.9114,234.4056,16.0426,89.6185
426.3697,234.8389,18.7426,86.1185
426.8279,243.7056,14.5426,92.5185
427.2862,248.7722,18.2093,91.4852
427.7444,247.8056,15.7426,98.8852
428.2026,252.1722,12.5093,96.8519
428.6608,249.4056,13.6426,90.1852
429.119,251.1389,14.8426,96.6852
429.5771,249.4056,11.8426,99.6852
430.0352,257.6389,11.3759,99.6519
430.4933,263.2056,16.5426,94.2519
430.9513,264.5722,15.0093,105.8519
431.4094,275.5389,15.1759,104.1852
431.8674,282.9056,15.0759,104.2185
432.3254,282.5056,16.6759,111.7852
432.7833,290.4389,13.7759,116.3185
433.2413,294.5722,13.3759,118.4852
433.6992,297.8389,15.4426,120.1852
434.1571,298.0722,15.8093,126.1519
434.615,293.7389,19.7759,113.5852
435.0728,294.8389,15.4426,113.7185
435.5306,302.9389,13.2093,114.1185
435.9884,300.5056,15.3426,115.4519
436.4462,310.1389,7.7093,119.4852
436.904,309.6722,14.3093,113.6519
437.3617,316.9389,15.8093,121.6519
437.8194,323.6722,17.8426,126.8185
438.2771,329.8722,11.1426,128.3519
438.7347,339.6722,18.4759,125.6519
439.1923,341.2056,16.7426,140.7185
439.65,349.2722,15.2093,137.5519
440.1075,353.6389,18.8093,137.5185
440.5651,355.0056,13.5759,148.0519
441.0226,356.2389,11.3759,140.4852
441.4801,362.8389,10.7759,143.4185
441.9376,361.2722,10.1426,142.8519
442.3951,365.1389,9.5093,149.5519
442.8525,367.0722,12.9759,146.0852
443.3099,376.9722,9.4759,149.7185
443.7673,383.8389,14.4759,150.5185
444.2247,383.0056,14.4426,153.9852
444.6821,389.7389,15.0759,155.4519
445.1394,399.6389,18.4093,147.6852
445.5967,399.8722,12.2759,162.4852
446.0539,403.1722,16.1759,159.4519
446.5112,405.6056,13.9093,162.4852
446.9684,410.2389,12.2759,161.3519
447.4256,412.3389,16.0093,166.4852
447.8828,420.8056,10.4426,171.3519
448.3399,428.7389,18.5426,161.7852
448.7971,432.4389,15.0759,178.3852
449.2542,434.1056,15.2426,172.8852
449.7113,432.8389,14.1759,176.9852
450.1683,436.0056,14.4093,173.6852
450.6254,431.7389,11.8426,176.7185
451.0824,444.3722,12.4426,176.5519
451.5394,453.8722,15.7093,171.6852
451.9963,460.7056,12.1759,187.2852
452.4532,461.6722,11.5759,187.2185
452.9102,465.1056,13.4093,185.3185
453.3671,474.7722,17.6426,186.3185
453.8239,485.3722,12.4093,202.3852
454.2808,485.0056,19.2426,196.1852
454.7376,492.1056,8.2759,198.5519
455.1944,504.3056,16.4426,202.8185
455.6511,508.4389,18.5759,205.1519
456.1079,519.2056,12.8426,210.4185
456.5646,527.7389,15.2759,206.0519
457.0213,535.2722,19.5093,215.7519
457.478,535.5389,17.7759,224.1519
457.9346,549.0056,10.9093,223.1519
458.3913,566.2056,19.0093,221.5852
458.8479,558.5722,11.6093,231.4185
459.3044,568.8056,13.7426,234.1852
459.761,571.4722,15.0093,224.5185
460.2175,586.1056,16.0759,239.9519
460.674,600.8056,18.2093,243.9852
461.1305,619.0389,13.1093,245.9852
461.587,633.8722,15.0426,242.2185
462.0434,641.9056,17.8093,257.2185
462.4998,655.4722,13.7759,265.1519
462.9562,663.1389,18.6759,267.5185
463.4126,673.2722,15.8759,269.0185
463.8689,681.3722,19.5759,273.0519
464.3252,688.6389,14.1093,275.9185
464.7815,696.8389,18.3093,270.2519
465.2378,707.4389,17.6093,286.7185
465.694,723.8389,16.7426,284.6519
466.1503,738.8722,19.7426,291.0185
466.6064,744.3056,24.0426,301.9519
467.0626,766.4056,18.9426,301.6852
467.5188,775.5722,20.3093,308.6852
467.9749,799.8722,21.3759,303.9852
468.431,815.5056,22.4426,319.6185
468.8871,836.4722,22.2426,329.2852
469.3431,861.9056,29.3759,337.9185
469.7991,871.9722,25.0093,343.8852
470.2551,895.9056,27.1426,349.2852
470.7111,925.8722,26.5426,358.5519
471.1671,950.0056,29.4759,366.5185
471.623,971.1389,33.5426,376.8852
472.0789,992.2389,27.5426,390.1852
472.5348,1015.0056,28.3093,394.0519
472.9907,1038.7389,30.3093,395.1519
473.4465,1062.8056,26.5759,407.0519
473.9023,1103.8056,38.3759,419.9519
474.3581,1123.4056,30.6426,433.0519
474.8139,1154.3722,36.2426,435.3852
475.2696,1175.3722,32.6759,442.5185
475.7253,1207.5389,38.6759,453.0519
476.181,1222.2389,36.1759,459.0519
476.6367,1254.3722,39.9759,470.0185
477.0923,1293.4722,40.0759,476.4852
477.5479,1325.5056,36.6093,478.4519
478.0035,1353.8722,42.1426,493.0852
478.4591,1378.6056,49.2093,502.7185
478.9147,1404.6056,49.0426,510.4519
479.3702,1447.7056,47.3093,513.2519
479.8257,1459.3389,51.1426,529.3519
480.2812,1489.1389,47.9759,532.5852
480.7366,1537.9389,51.6759,535.2519
481.192,1596.7389,59.8759,536.9519
481.6474,1637.2056,62.7759,566.3185
